code,name,start_date,end_date,cup_formed,reason
000546,金圆股份,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000547,航天发展,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000548,湖南投资,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000550,江铃汽车,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000551,创元科技,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000552,甘肃能化,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000553,安道麦A,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000554,泰山石油,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000555,神州信息,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000557,西部创业,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000558,天府文旅,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000559,万向钱潮,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000560,我爱我家,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000561,烽火电子,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000563,陕国投Ａ,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000564,供销大集,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000565,渝三峡Ａ,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000566,海南海药,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000567,海德股份,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000568,泸州老窖,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000570,苏常柴Ａ,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000571,新大洲A,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000572,海马汽车,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000573,粤宏远Ａ,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000576,甘化科工,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000581,威孚高科,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000582,北部湾港,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000586,汇源通信,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000589,贵州轮胎,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000590,古汉医药,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000591,太阳能,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000592,平潭发展,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000593,德龙汇能,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000596,古井贡酒,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000597,东北制药,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000598,兴蓉环境,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000599,青岛双星,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000600,建投能源,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000601,韶能股份,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000603,盛达资源,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000605,渤海股份,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000607,华媒控股,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000610,西安旅游,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
